Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21469162,"Fight for Power (The Rule of Three, #2)",Eric Walters,"Walters, Eric",,"=""0374301794""","=""9780374301798""",4,4.26,"Farrar, Straus and Giroux (BYR)",Hardcover,352,2015,2015,2022/06/06,2022/06/06,,,read,Still lowkey bangers I swear I read these in grade 6 and they still hit,,,1,0
17934467,"The Rule of Three (The Rule of Three, #1)",Eric Walters,"Walters, Eric",,"=""0374355029""","=""9780374355029""",4,4.00,"Farrar, Straus and Giroux (BYR)",Hardcover,405,2014,2014,2022/06/06,2022/06/06,,,read,Idk why I just randomly wanted to reread this series but they’re still lowkey bangers fr,,,1,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",5,4.09,Flatiron Books,Hardcover,354,2017,2017,2022/05/28,2022/05/28,,,read,Was a 4.25 until the end but maybe in the end a 4.5. Ngl predicted basically the back half of the book but not in a obvious way in like a satisfying way idk. If I was into Shakespeare and stuff I’m sure this book would be even better but I loved the characters tbh and the ending just wrapped stuff up really well I’m going to chose to view it in a optimistic way fr,,,1,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",5,4.68,Viking,ebook,384,2019,2019,2022/05/22,2022/05/22,,,read,It's hard to say this was beautifully written when the subject matter was so serious but genuinely she conveyed her state of mind so expertly well. Everyone should know Chanel's story fr,,,1,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385545681""","=""9780385545686""",5,4.54,Doubleday,Hardcover,535,2021,2021,2022/05/21,2022/05/06,,,read,4.5 took me so long to get through bc it was kinda long but it’s crazy how little I knew about this situation beforehand considering how important it is in modern history fr,,,1,0
29905580,"The Upstarts: How Uber, Airbnb, and the Killer Companies of the New Silicon Valley Are Changing the World",Brad Stone,"Stone, Brad",,"=""0593076354""","=""9780593076354""",0,4.04,Bantam Press,Paperback,384,2017,2017,,2022/05/16,to-read,to-read (#2),to-read,,,,0,0
57341045,"The Hunger of the Gods (The Bloodsworn Saga, #2)",John Gwynne,"Gwynne, John",,"=""0356514226""","=""9780356514222""",4,4.50,Orbit,Hardcover,633,2022,2022,2022/05/09,2022/05/09,,,read,"3.75 idk man I only actually really like one or two of the characters. It’s engaging like I couldn’t put it down somehow but at the same time I didn’t rally cars about the story, the magic feels really weird and doesn’t read that well tbh but orka is a girl boss so whatever ",,,1,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""""","=""""",2,3.77,Scribner,Paperback,209,2020,2017,2022/05/06,2022/05/06,,,read,"2.5, I know it was supposed to bring attention to factory farming and how little we care about animals or eugenic/racist practices of “other” humans being worthless and not human. But it was just so gross and the writing or other aspects didn’t really make up for it. Nobody was a good person or had any empathy or compassion. The only good part was the part about Icarus and that’s basically it.",,,1,0
52694527,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""0356514188""","=""9780356514185""",4,4.19,Orbit,Hardcover,480,2021,2021,2022/05/05,2022/05/05,,,read,"4.25, couldn’t put it down and I liked it a decent amount. Hard to get used to all the random new names for stuff and the ending was slightly predictable but lowkey a banger for sure",,,1,0
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",5,3.81,Harper,Hardcover,309,2021,2021,2022/05/03,2022/04/26,,,read,Really interesting. Talks about how brainwashing isn’t really that possible and what drives people to not only join cults but obsess over more casual groups like soul cycle. Banger tbh,,,1,0
13578175,The Emperor's Soul,Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",5,4.37,Tachyon Publications,Paperback,175,2012,2012,2022/04/23,2022/04/23,,,read,Only a novella but whatever I’m counting it for my reading goal. Actually one of my fav stories ever I love it so much. Bit of a pacing issue but it can easily be ignored. it’s just so amazing the friendship development between the two main characters is great and Shai is a girl boss frfr. the ending is amazing too,,,1,0
54390506,A Brief History of Earth: Four Billion Years in Eight Chapters,Andrew H. Knoll,"Knoll, Andrew H.",,"=""0062853910""","=""9780062853912""",4,3.94,Custom House,Hardcover,272,2021,2021,2022/04/23,2022/04/23,,,read,"3.75, didn’t learn very much but I’m glad I read it, decently engaging read",,,1,0
37642030,The Hunting Party,Lucy Foley,"Foley, Lucy",,"=""0008297126""","=""9780008297121""",5,3.60,HarperCollins UK,Paperback,406,2019,2018,2022/04/18,2022/04/18,,,read,Was kinda heat. I like how complex all the characters always are but I acc despise most of them fr,,,1,0
30231817,The Illegal,Lawrence Hill,"Hill, Lawrence",,"=""0393353680""","=""9780393353686""",3,3.78,W. W. Norton & Company,Paperback,416,2017,2015,2022/04/12,2022/04/12,,,read,So unbelievable mid . Book club ,,,2,0
51933429,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",5,3.80,William Morrow,Hardcover,330,2020,2020,2022/04/11,2022/04/11,,,read,Banger tbh. Lowkey hated and liked most of the characters at one point or another ,,,1,0
18656827,"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal",Nick Bilton,"Bilton, Nick",,"=""1591846013""","=""9781591846017""",0,4.04,Portfolio Hardcover,Hardcover,299,2013,2013,,2022/04/07,to-read,to-read (#1),to-read,,,,0,0
55457493,"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,"Osman, Richard",,"=""""","=""""",5,4.36,Penguin,Kindle Edition,422,2021,2021,2022/03/20,2022/03/20,,,read,4.5 again. It was just heat and I like the characters ,,,1,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",4,3.86,Penguin Books,Kindle Edition,382,2020,2020,2022/03/16,2022/03/16,,,read,4.5 ish. Elizebeth is a girl boss fr she’s a wild 80 year old. I predicated one major thing right and a decent amount of it wrong which I guess is the best way it can go. Was almost too many big reveals but I liked it a lot.,,,1,0
23604559,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1501115065""","=""9781501115066""",4,4.07,Atria Books,Hardcover,372,2015,2013,2022/03/14,2022/03/14,,,read,I liked it quite a bit. the characters were once again pretty amazing minus the main villain. Sadly not as good as anxious people bc that book went hard but still a pretty decent read.,,,1,0
53799686,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982121602""","=""9781982121600""",5,4.17,Simon & Schuster Canada,Paperback,336,2020,2019,2022/03/13,2022/03/13,,,read,Literally so exceptional every character is so complex and realistic. Beautiful writing too it took my so long to finish but I think I just wanted to savour it for as long as possible,,,1,0
